Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Donald_Trump.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:00.8	0.3489172	0.000679894	0.1914898	0.02162352	0.000713575	0.02455094	0.05743253	0.09497379	-0.1908099	0.9370446	30.98917	2.293455	-7.882593	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.8	0.3428929	0.000675301	0.193397	0.02133508	0.000695985	0.02504795	0.05829366	0.09328478	-0.1927217	0.935016	31.32343	1.90926	-7.800931	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.8	0.3366776	0.000680885	0.1939397	0.02098157	0.000671267	0.0258087	0.06023076	0.09402879	-0.1932588	0.9330388	32.16187	1.612395	-7.653512	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.9	0.3239056	0.000656579	0.2146681	0.02096558	0.000657132	0.02676489	0.06336623	0.09255109	-0.2140115	0.930989	31.98589	1.684577	-7.630906	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.9	0.3230861	0.000655373	0.2145243	0.02058143	0.000649784	0.0271641	0.06351534	0.0907308	-0.213869	0.9289867	32.14608	1.741109	-7.625357	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.9	0.3183858	0.000654689	0.2106619	0.02060698	0.000634744	0.02773889	0.06471797	0.08967938	-0.2100072	0.9270328	32.1761	1.734004	-7.623846	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.0	0.3150313	0.000672228	0.2034437	0.02017926	0.000619628	0.02780726	0.06632625	0.08873399	-0.2027715	0.9251508	31.4236	2.264192	-7.731888	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.0	0.3175973	0.000669746	0.2012046	0.01968044	0.000631208	0.02769588	0.06497145	0.08619335	-0.2005349	0.923321	31.28183	2.139343	-7.824619	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.0	0.3223336	0.000668949	0.2007715	0.01925461	0.000639897	0.02770198	0.06366792	0.08482415	-0.2001026	0.921563	31.32445	1.99049	-7.761229	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:01.1	0.3290703	0.000684686	0.1940185	0.01897357	0.000645429	0.02721409	0.0620009	0.08341365	-0.1933338	0.9198499	31.32686	1.989464	-7.761909	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
