Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Megyn_Kelly.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:01.2	0.4220512	0.3132364	0.01400433	0.001024351	0.01471362	0.000382323	0.008890715	0.02670052	0.2992321	0.4480509	-2.682017	-5.529887	6.346037	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.2	0.3867313	0.3572248	0.01321834	0.000941984	0.01440349	0.000462418	0.009468191	0.02462686	0.3440064	0.445483	-3.811609	-4.274039	6.612869	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.2	0.3536362	0.4030512	0.0123507	0.000865663	0.01428598	0.000560759	0.009899281	0.02247815	0.3907005	0.4430325	-4.410645	-4.915548	7.21696	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.3	0.3222057	0.4499868	0.01146696	0.000793533	0.01406077	0.000650803	0.01057953	0.02042527	0.4385199	0.4406919	-7.809231	-3.816347	7.808252	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.3	0.2929394	0.4936119	0.01060529	0.000727878	0.01362225	0.000732176	0.01181511	0.01852267	0.4817968	0.4384863	-8.931924	-3.778147	8.994915	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.3	0.2668517	0.5338522	0.00979312	0.00066777	0.01363283	0.000838072	0.01198687	0.01679964	0.5218653	0.4364262	-8.933543	-4.818625	10.27139	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.4	0.2423498	0.5716861	0.008978148	0.000618083	0.01331323	0.000939815	0.01225235	0.01522678	0.5594338	0.4345895	-7.081449	-5.527219	10.87968	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.4	0.2199226	0.6053873	0.008230302	0.000574885	0.01292776	0.001109299	0.0125629	0.01380018	0.5928245	0.4329276	-4.909583	-6.983114	11.56922	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.4	0.1995508	0.6347898	0.00754894	0.000540383	0.01253494	0.001303183	0.01272151	0.0125082	0.6220683	0.4314122	-4.115872	-7.909244	12.11175	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.5	0.1810924	0.6608356	0.006920229	0.000510915	0.0121569	0.001618325	0.0125857	0.01133938	0.6482499	0.4300912	-4.492593	-7.666754	12.35703	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.5	0.1643382	0.6869593	0.006311315	0.000496294	0.01154623	0.002916788	0.01265979	0.01027306	0.6742995	0.4289286	-5.054639	-6.740407	12.35092	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D	No Stimulus	No Event Marker
00:01.5	0.1492732	0.7081187	0.005749327	0.000489741	0.01099272	0.00385797	0.01229694	0.00931391	0.6958218	0.427947	-5.163686	-6.272454	12.11304	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.6	0.1357671	0.72563	0.005241533	0.000492463	0.01049237	0.005029839	0.01205172	0.008445215	0.7135783	0.4272784	-5.369626	-5.252876	11.77721	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.6	0.1235502	0.7402585	0.004781045	0.000496422	0.009970305	0.005989318	0.01187698	0.007665435	0.7283815	0.4269517	-5.123389	-4.749779	11.44902	Open	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.6	0.1128937	0.75037	0.004363724	0.000505381	0.009761097	0.006799995	0.01164344	0.006966944	0.7387265	0.4268815	-4.899944	-4.227711	11.08444	Open	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.7	0.1036591	0.7508405	0.003987714	0.000510591	0.009920502	0.007981474	0.01143539	0.006351933	0.7394052	0.4268815	-4.616215	-3.958566	10.59973	Open	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.7	0.09619944	0.7316715	0.003653255	0.000520411	0.01061711	0.009418395	0.01101121	0.005807777	0.7206603	0.4315612	-4.324569	-3.702867	10.21093	Open	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.7	0.08962597	0.7128873	0.003339119	0.00054038	0.01330375	0.009964081	0.01071478	0.005352418	0.7021726	0.43775	-3.21425	-3.596528	9.707902	Open	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	No Stimulus	No Event Marker
